"","level","Overall","0","1","p","test","Missing"
"","2","42 (17.3)","35 (16.6)","7 (21.9)","","",""
"","3","83 (34.2)","77 (36.5)","6 (18.8)","","",""
"","4","8 (3.3)","6 (2.8)","2 (6.2)","","",""
"","5","7 (2.9)","4 (1.9)","3 (9.4)","","",""
"admit_admitroute (%)","1","110 (45.6)","93 (44.5)","17 (53.1)","0.654","","0.8"
"","2","98 (40.7)","87 (41.6)","11 (34.4)","","",""
"","3","33 (13.7)","29 (13.9)","4 (12.5)","","",""
"sex_male (%)","0","98 (40.3)","79 (37.4)","19 (59.4)","0.030","","0.0"
"","1","145 (59.7)","132 (62.6)","13 (40.6)","","",""
"race (%)","1","207 (85.9)","177 (84.7)","30 (93.8)","0.525","","0.8"
"","2","9 (3.7)","8 (3.8)","1 (3.1)","","",""
"","3","4 (1.7)","4 (1.9)","0 (0.0)","","",""
"","4","21 (8.7)","20 (9.6)","1 (3.1)","","",""
"hispanic (%)","0","205 (84.4)","178 (84.4)","27 (84.4)","1.000","","0.0"
"","1","38 (15.6)","33 (15.6)","5 (15.6)","","",""
"insurance_type (%)","1","50 (24.3)","45 (25.4)","5 (17.2)","0.422","","15.2"
"","2","45 (21.8)","39 (22.0)","6 (20.7)","","",""
"","3","99 (48.1)","83 (46.9)","16 (55.2)","","",""
"","4","6 (2.9)","4 (2.3)","2 (6.9)","","",""
"","5","6 (2.9)","6 (3.4)","0 (0.0)","","",""
"cirrhosis_etiology (%)","1","135 (55.6)","118 (55.9)","17 (53.1)","0.410","","0.0"
"","2","44 (18.1)","35 (16.6)","9 (28.1)","","",""
"","3","6 (2.5)","6 (2.8)","0 (0.0)","","",""
"","4","15 (6.2)","14 (6.6)","1 (3.1)","","",""
"","5","15 (6.2)","12 (5.7)","3 (9.4)","","",""
"","6","28 (11.5)","26 (12.3)","2 (6.2)","","",""
"etoh_hepatitis (%)","0","184 (76.0)","161 (76.7)","23 (71.9)","0.712","","0.4"
"","1","58 (24.0)","49 (23.3)","9 (28.1)","","",""
"hegrade_admit (%)","0","141 (58.3)","121 (57.6)","20 (62.5)","0.309","","0.4"
"","1","65 (26.9)","57 (27.1)","8 (25.0)","","",""
"","2","25 (10.3)","23 (11.0)","2 (6.2)","","",""
"","3","6 (2.5)","6 (2.9)","0 (0.0)","","",""
"","4","5 (2.1)","3 (1.4)","2 (6.2)","","",""
"admit_ascites (%)","1","16 (6.6)","14 (6.7)","2 (6.2)","0.557","","0.4"
"","2","154 (63.6)","131 (62.4)","23 (71.9)","","",""
"","3","72 (29.8)","65 (31.0)","7 (21.9)","","",""
"htn_medical_hx (%)","0","134 (55.1)","120 (56.9)","14 (43.8)","0.230","","0.0"
"","1","109 (44.9)","91 (43.1)","18 (56.2)","","",""
"dm_medical_hx (%)","0","171 (70.4)","148 (70.1)","23 (71.9)","1.000","","0.0"
"","1","72 (29.6)","63 (29.9)","9 (28.1)","","",""
"ckd_medical_hx (%)","0","166 (68.3)","144 (68.2)","22 (68.8)","1.000","","0.0"
"","1","77 (31.7)","67 (31.8)","10 (31.2)","","",""
"cad_medical_hx (%)","0","210 (86.4)","183 (86.7)","27 (84.4)","0.932","","0.0"
"","1","33 (13.6)","28 (13.3)","5 (15.6)","","",""
"nsbb_preadmission (%)","0","191 (80.6)","167 (81.5)","24 (75.0)","0.536","","2.5"
"","1","46 (19.4)","38 (18.5)","8 (25.0)","","",""
"nsbb_type_preadmission (%)","1","13 (28.3)","10 (26.3)","3 (37.5)","0.716","","81.1"
"","2","22 (47.8)","18 (47.4)","4 (50.0)","","",""
"","3","5 (10.9)","5 (13.2)","0 (0.0)","","",""
"","4","6 (13.0)","5 (13.2)","1 (12.5)","","",""
"ace_arb_preadmission (%)","0","213 (90.6)","189 (93.1)","24 (75.0)","0.003","","3.3"
"","1","22 (9.4)","14 (6.9)","8 (25.0)","","",""
"nsaid_preadmission (%)","0","213 (91.4)","183 (90.6)","30 (96.8)","0.424","","4.1"
"","1","20 (8.6)","19 (9.4)","1 (3.2)","","",""
"diuretics_preadmission (%)","0","117 (49.6)","108 (52.9)","9 (28.1)","0.016","","2.9"
"","1","119 (50.4)","96 (47.1)","23 (71.9)","","",""
"sbp_ppx_preadmission (%)","0","167 (71.7)","143 (70.8)","24 (77.4)","0.235","","4.1"
"","1","42 (18.0)","35 (17.3)","7 (22.6)","","",""
"","2","7 (3.0)","7 (3.5)","0 (0.0)","","",""
"","3","17 (7.3)","17 (8.4)","0 (0.0)","","",""
"lactulose_preadmission (%)","0","105 (44.5)","92 (45.1)","13 (40.6)","0.778","","2.9"
"","1","131 (55.5)","112 (54.9)","19 (59.4)","","",""
"rifaximin_preadmission (%)","0","153 (65.1)","135 (66.2)","18 (58.1)","0.496","","3.3"
"","1","82 (34.9)","69 (33.8)","13 (41.9)","","",""
"mido_preadmission (%)","0","154 (66.1)","135 (66.8)","19 (61.3)","0.687","","4.1"
"","1","79 (33.9)","67 (33.2)","12 (38.7)","","",""
"ascites_previous_comp (%)","0","32 (13.2)","29 (13.7)","3 (9.4)","0.689","","0.0"
"","1","211 (86.8)","182 (86.3)","29 (90.6)","","",""
"refascites_previous_comp (%)","0","92 (45.1)","78 (44.3)","14 (50.0)","0.721","","16.0"
"","1","112 (54.9)","98 (55.7)","14 (50.0)","","",""
"he_previous_comp (%)","0","98 (40.7)","85 (40.7)","13 (40.6)","1.000","","0.8"
"","1","143 (59.3)","124 (59.3)","19 (59.4)","","",""
"sbp_previous_comp (%)","0","196 (81.3)","169 (80.9)","27 (84.4)","0.817","","0.8"
"","1","45 (18.7)","40 (19.1)","5 (15.6)","","",""
"nonsbp_previous_comp (%)","0","188 (80.0)","165 (80.9)","23 (74.2)","0.531","","3.3"
"","1","47 (20.0)","39 (19.1)","8 (25.8)","","",""
"phtn_bleed_previous_comp (%)","0","184 (76.0)","160 (76.2)","24 (75.0)","1.000","","0.4"
"","1","58 (24.0)","50 (23.8)","8 (25.0)","","",""
"hcc_previous_comp (%)","0","222 (91.7)","192 (91.4)","30 (93.8)","0.921","","0.4"
"","1","20 (8.3)","18 (8.6)","2 (6.2)","","",""
"tips_previous_comp (%)","0","222 (91.4)","193 (91.5)","29 (90.6)","1.000","","0.0"
"","1","21 (8.6)","18 (8.5)","3 (9.4)","","",""
"baseline_scr_outpt (%)","0","141 (58.3)","121 (57.6)","20 (62.5)","0.742","","0.4"
"","1","101 (41.7)","89 (42.4)","12 (37.5)","","",""
"aki_previous_90days (%)","0","143 (59.6)","125 (59.8)","18 (58.1)","1.000","","1.2"
"","1","97 (40.4)","84 (40.2)","13 (41.9)","","",""
"transfer_aki (%)","0","166 (68.6)","143 (68.1)","23 (71.9)","0.822","","0.4"
"","1","76 (31.4)","67 (31.9)","9 (28.1)","","",""
"aki_precipitant_nsbpinf (%)","2","5 (33.3)","5 (35.7)","0 (0.0)","0.343","","93.8"
"","3","5 (33.3)","4 (28.6)","1 (100.0)","","",""
"","4","5 (33.3)","5 (35.7)","0 (0.0)","","",""
"he_aki (%)","0","135 (56.7)","113 (54.6)","22 (71.0)","0.429","","2.1"
"","1","68 (28.6)","61 (29.5)","7 (22.6)","","",""
"","2","24 (10.1)","22 (10.6)","2 (6.5)","","",""
"","3","7 (2.9)","7 (3.4)","0 (0.0)","","",""
"","4","4 (1.7)","4 (1.9)","0 (0.0)","","",""
"rrt_aki (%)","0","238 (99.2)","207 (99.0)","31 (100.0)","1.000","","1.2"
"","1","2 (0.8)","2 (1.0)","0 (0.0)","","",""
"mv_aki (%)","0","234 (97.1)","203 (96.7)","31 (100.0)","0.646","","0.8"
"","1","7 (2.9)","7 (3.3)","0 (0.0)","","",""
"pressors_aki (%)","0","215 (90.0)","185 (88.9)","30 (96.8)","0.302","","1.6"
"","1","24 (10.0)","23 (11.1)","1 (3.2)","","",""
"chest_imaging (%)","0","44 (18.3)","37 (17.8)","7 (21.9)","0.756","","1.2"
"","1","196 (81.7)","171 (82.2)","25 (78.1)","","",""
"chest_imaging_pulmedema (%)","0","144 (73.5)","128 (74.9)","16 (64.0)","0.365","","19.3"
"","1","52 (26.5)","43 (25.1)","9 (36.0)","","",""
"chest_imaging_effusion (%)","0","127 (64.8)","117 (68.4)","10 (40.0)","0.011","","19.3"
"","1","69 (35.2)","54 (31.6)","15 (60.0)","","",""
"ecg (%)","0","32 (13.2)","25 (11.9)","7 (21.9)","0.204","","0.4"
"","1","210 (86.8)","185 (88.1)","25 (78.1)","","",""
"echo (%)","0","64 (26.6)","54 (25.8)","10 (31.2)","0.667","","0.8"
"","1","177 (73.4)","155 (74.2)","22 (68.8)","","",""
"albumin_before_terli (%)","0","24 (9.9)","19 (9.0)","5 (15.6)","0.394","","0.0"
"","1","219 (90.1)","192 (91.0)","27 (84.4)","","",""
"crystalloid_before_terli (%)","0","106 (44.2)","91 (43.8)","15 (46.9)","0.888","","1.2"
"","1","134 (55.8)","117 (56.2)","17 (53.1)","","",""
"nsbb_before_terli (%)","1","36 (15.1)","29 (14.1)","7 (21.9)","0.216","","2.1"
"","2","3 (1.3)","3 (1.5)","0 (0.0)","","",""
"","3","10 (4.2)","7 (3.4)","3 (9.4)","","",""
"","4","189 (79.4)","167 (81.1)","22 (68.8)","","",""
"mido_before_terli (%)","0","68 (28.1)","61 (29.0)","7 (21.9)","0.529","","0.4"
"","1","174 (71.9)","149 (71.0)","25 (78.1)","","",""
"oct_before_terli (%)","0","120 (49.6)","106 (50.5)","14 (43.8)","0.604","","0.4"
"","1","122 (50.4)","104 (49.5)","18 (56.2)","","",""
"ne_before_terli (%)","0","208 (86.0)","181 (86.2)","27 (84.4)","0.998","","0.4"
"","1","34 (14.0)","29 (13.8)","5 (15.6)","","",""
"gihep_consult (%)","0","24 (9.9)","23 (11.0)","1 (3.1)","0.288","","0.4"
"","1","218 (90.1)","187 (89.0)","31 (96.9)","","",""
"neph_consult (%)","0","23 (9.5)","21 (10.0)","2 (6.2)","0.726","","0.4"
"","1","219 (90.5)","189 (90.0)","30 (93.8)","","",""
"pall_consult (%)","0","160 (66.7)","142 (68.3)","18 (56.2)","0.254","","1.2"
"","1","80 (33.3)","66 (31.7)","14 (43.8)","","",""
"code_status (%)","1","53 (69.7)","45 (71.4)","8 (61.5)","0.708","","68.7"
"","2","23 (30.3)","18 (28.6)","5 (38.5)","","",""
"ua_hrs (%)","0","17 (7.0)","16 (7.6)","1 (3.1)","0.579","","0.4"
"","1","225 (93.0)","194 (92.4)","31 (96.9)","","",""
"ua_na_hrs (%)","0","32 (13.3)","31 (14.8)","1 (3.1)","0.124","","0.8"
"","1","209 (86.7)","178 (85.2)","31 (96.9)","","",""
"ua_cr_hrs (%)","0","68 (28.2)","63 (30.1)","5 (15.6)","0.137","","0.8"
"","1","173 (71.8)","146 (69.9)","27 (84.4)","","",""
"ua_urea_hrs (%)","0","150 (63.6)","131 (64.2)","19 (59.4)","0.740","","2.9"
"","1","86 (36.4)","73 (35.8)","13 (40.6)","","",""
"ua_granularcasts_hrs (%)","0","149 (74.1)","128 (73.1)","21 (80.8)","0.556","","17.3"
"","1","52 (25.9)","47 (26.9)","5 (19.2)","","",""
"ua_epi_cells_hrs (%)","0","158 (79.4)","135 (78.0)","23 (88.5)","0.334","","18.1"
"","1","41 (20.6)","38 (22.0)","3 (11.5)","","",""
