"","level","Overall","0","1","p","test","Missing"
"days_first_oct_before_terli (median [IQR])","","1.00 [0.00, 5.75]","1.00 [0.00, 5.25]","4.50 [1.75, 5.75]","0.309","nonnorm","49.8"
"days_total_oct_before_terli (median [IQR])","","4.00 [2.00, 8.75]","4.00 [1.00, 9.00]","5.50 [2.75, 6.00]","0.775","nonnorm","49.8"
"oct_maxdose_before_terli (median [IQR])","","300.00 [100.00, 600.00]","300.00 [100.00, 600.00]","275.00 [100.00, 862.50]","0.938","nonnorm","49.8"
"days_first_ne_before_terli (median [IQR])","","1.00 [0.00, 2.75]","1.00 [0.00, 2.00]","12.00 [12.00, 12.00]","0.099","nonnorm","86.0"
"days_total_ne_before_terli (median [IQR])","","4.00 [2.00, 10.75]","4.00 [2.00, 10.00]","12.00 [12.00, 12.00]","0.330","nonnorm","86.0"
"days_to_gihep_consult (median [IQR])","","1.00 [0.00, 1.00]","1.00 [0.00, 1.00]","1.00 [1.00, 4.00]","0.135","nonnorm","10.7"
"days_to_neph_consult (median [IQR])","","2.00 [1.00, 5.00]","2.00 [1.00, 5.00]","2.00 [1.50, 4.50]","0.625","nonnorm","10.3"
"days_to_pall_consult (median [IQR])","","9.00 [3.75, 16.00]","9.00 [3.75, 16.00]","6.00 [3.75, 8.25]","0.320","nonnorm","67.1"
"days_ua_hrs (median [IQR])","","1.00 [0.00, 3.25]","1.00 [0.00, 3.75]","1.00 [0.00, 2.75]","0.885","nonnorm","7.8"
"days_ua_na_hrs (median [IQR])","","1.00 [0.00, 4.00]","1.00 [0.00, 4.00]","2.50 [2.00, 8.75]","0.077","nonnorm","14.0"
"ua_na_value_hrs (median [IQR])","","19.00 [9.00, 19.00]","19.00 [9.00, 19.00]","19.00 [19.00, 19.25]","0.068","nonnorm","14.0"
"days_ua_cr_hrs (median [IQR])","","1.00 [1.00, 5.00]","1.00 [0.00, 5.00]","4.00 [3.00, 22.00]","0.003","nonnorm","28.8"
"ua_cr_value_hrs (median [IQR])","","128.00 [93.00, 171.00]","128.95 [94.75, 171.00]","126.00 [82.00, 157.00]","0.488","nonnorm","28.8"
"days_ua_urea_hrs (median [IQR])","","1.00 [0.00, 6.00]","1.00 [0.00, 6.00]","4.00 [3.00, 17.50]","0.144","nonnorm","64.6"
"ua_urea_value_hrs (median [IQR])","","512.50 [396.25, 651.00]","516.00 [397.50, 654.00]","429.00 [402.00, 508.00]","0.473","nonnorm","64.6"
"feurea_hrs (median [IQR])","","21.19 [14.44, 29.70]","20.95 [14.24, 29.62]","28.42 [25.88, 33.46]","0.197","nonnorm","68.3"
"ua_rbc_hrs (median [IQR])","","2.00 [0.75, 10.00]","2.50 [0.00, 11.00]","2.00 [2.00, 3.50]","0.599","nonnorm","22.6"
"uaprotein_hrs (median [IQR])","","2.00 [0.13, 50.00]","2.00 [0.12, 50.00]","0.92 [0.26, 37.84]","0.957","nonnorm","50.2"
"temp_terli_day0 (median [IQR])","","36.60 [36.40, 36.80]","36.60 [36.40, 36.80]","36.60 [36.50, 36.70]","0.734","nonnorm","0.0"
"hr_terli_day0 (median [IQR])","","80.00 [67.00, 90.50]","79.50 [66.00, 90.00]","88.00 [75.50, 91.50]","0.292","nonnorm","0.0"
"pao2_terli_day0 (median [IQR])","","88.00 [79.00, 112.00]","90.60 [79.00, 112.00]","79.00 [79.00, 86.00]","0.045","nonnorm","24.3"
"fio2_terli_day0 (median [IQR])","","0.21 [0.21, 0.21]","0.21 [0.21, 0.21]","0.21 [0.21, 0.21]","0.361","nonnorm","6.2"
"sbp_terli_day0_time0 (median [IQR])","","106.00 [98.00, 117.00]","106.50 [98.00, 117.00]","102.00 [96.50, 104.50]","0.137","nonnorm","10.7"
"map_terli_day0_time0 (median [IQR])","","73.16 [66.08, 80.33]","73.33 [66.33, 80.67]","68.33 [0.00, 71.33]","0.016","nonnorm","0.4"
"chloride_terli_day0 (median [IQR])","","101.00 [96.00, 105.00]","101.00 [96.00, 105.00]","96.00 [94.50, 104.00]","0.328","nonnorm","0.0"
"bicarb_terli_day0 (median [IQR])","","19.00 [16.00, 21.00]","19.00 [16.00, 21.00]","17.00 [15.00, 20.50]","0.377","nonnorm","2.1"
"scr_terli_day0 (median [IQR])","","2.79 [2.27, 3.57]","2.79 [2.30, 3.57]","2.26 [2.05, 3.80]","0.562","nonnorm","0.0"
"bun_terli_day0 (median [IQR])","","54.00 [39.00, 71.00]","54.00 [39.00, 71.75]","48.00 [30.60, 63.00]","0.354","nonnorm","0.8"
"ast_terli_day0 (median [IQR])","","51.50 [33.00, 85.25]","51.00 [33.00, 86.00]","55.00 [37.00, 57.00]","0.485","nonnorm","6.2"
"alt_terli_day0 (median [IQR])","","23.00 [15.00, 34.25]","23.00 [15.00, 35.00]","17.00 [11.00, 28.00]","0.220","nonnorm","6.2"
"bili_terli_day0 (median [IQR])","","5.60 [2.58, 17.32]","5.60 [2.60, 17.42]","5.10 [1.95, 17.10]","0.741","nonnorm","6.2"
"alb_terli_day0 (median [IQR])","","3.50 [3.10, 3.82]","3.50 [3.10, 3.80]","3.90 [3.62, 4.18]","0.014","nonnorm","6.2"
"inr_terli_day0 (median [IQR])","","2.10 [1.70, 2.56]","2.10 [1.70, 2.50]","2.45 [1.60, 3.25]","0.348","nonnorm","19.8"
"wbc_terli_day0 (median [IQR])","","7.30 [5.00, 11.36]","7.30 [5.04, 11.42]","6.90 [4.83, 9.60]","0.481","nonnorm","3.7"
"hgb_terli_day0 (median [IQR])","","8.00 [7.40, 8.95]","8.00 [7.40, 8.93]","8.60 [8.35, 9.00]","0.102","nonnorm","1.6"
"Discont_Day (median [IQR])","","3.00 [2.00, 5.00]","3.00 [2.00, 5.25]","1.00 [1.00, 1.50]","<0.001","nonnorm","0.0"
"na_terli_day0 (median [IQR])","","133.00 [129.00, 136.00]","133.00 [129.00, 136.00]","131.00 [129.50, 135.50]","0.783","nonnorm","0.0"
"days_to_terli_initiation_day0 (median [IQR])","","5.00 [2.00, 9.00]","5.00 [2.00, 9.00]","6.00 [3.00, 6.50]","0.919","nonnorm","0.0"
"clif_c_score (median [IQR])","","41.38 [36.19, 47.82]","41.31 [36.24, 47.82]","43.19 [32.78, 48.33]","0.949","nonnorm","3.7"
"admit_meld (median [IQR])","","27.00 [22.00, 33.00]","27.00 [22.00, 33.00]","27.00 [23.00, 34.50]","0.742","nonnorm","3.3"
"admit_meld_na (median [IQR])","","30.00 [26.00, 34.00]","30.00 [26.00, 34.00]","29.00 [27.00, 34.50]","0.809","nonnorm","4.5"
"admit_meld_3 (median [IQR])","","31.00 [27.00, 37.00]","31.00 [26.75, 37.00]","31.00 [28.50, 35.00]","0.800","nonnorm","0.0"
"admit_meld_3_raw (median [IQR])","","31.00 [26.00, 37.00]","31.00 [26.00, 37.00]","31.00 [28.50, 35.00]","0.810","nonnorm","4.1"
"day0_meld (median [IQR])","","32.00 [26.00, 37.00]","32.00 [26.00, 37.00]","35.00 [25.00, 39.00]","0.833","nonnorm","21.8"
"day0_meld_na (median [IQR])","","34.00 [28.00, 38.00]","34.00 [28.00, 38.00]","36.00 [25.00, 39.00]","0.847","nonnorm","21.8"
"day0_meld_3 (median [IQR])","","35.00 [29.00, 39.75]","35.00 [29.00, 40.00]","38.00 [25.00, 39.00]","0.957","nonnorm","23.5"
"time_to_transplant (median [IQR])","","20.00 [11.00, 41.75]","17.00 [11.00, 41.50]","40.00 [29.50, 41.50]","0.346","nonnorm","71.2"
"time_to_death_status (%)","0","140 (57.6)","135 (58.2)","5 (45.5)","0.601","","0.0"
"","1","103 (42.4)","97 (41.8)","6 (54.5)","","",""
"time_to_death_90days (median [IQR])","","90.00 [22.00, 90.00]","90.00 [22.00, 90.00]","60.00 [12.00, 90.00]","0.425","nonnorm","0.0"
"cystatinc_admit (median [IQR])","","2.89 [2.53, 3.54]","2.83 [2.50, 3.53]","3.58 [3.29, 3.87]","0.200","nonnorm","86.4"
"cystatinc_aki (median [IQR])","","2.71 [2.22, 3.54]","2.67 [2.20, 3.42]","4.16 [4.16, 4.16]","0.100","nonnorm","92.2"
"cystatinc_terli_day0 (median [IQR])","","2.91 [2.49, 3.54]","2.91 [2.49, 3.54]","NA [NA, NA]","NA","nonnorm","89.3"
"urine_pc (median [IQR])","","0.07 [0.00, 0.47]","0.08 [0.00, 0.48]","0.01 [0.01, 0.32]","0.845","nonnorm","56.8"
"fena (median [IQR])","","0.21 [0.12, 0.34]","0.20 [0.11, 0.34]","0.28 [0.21, 0.55]","0.105","nonnorm","34.2"
"fena_hrs (median [IQR])","","0.22 [0.14, 0.35]","0.21 [0.14, 0.35]","0.27 [0.25, 0.45]","0.103","nonnorm","31.7"
"total_albumin (median [IQR])","","62.50 [0.00, 125.00]","62.50 [0.00, 125.00]","37.50 [25.00, 50.00]","0.325","nonnorm","0.0"
"admit_admitservice (%)","1","103 (42.4)","98 (42.2)","5 (45.5)","0.358","","0.0"
"","2","42 (17.3)","42 (18.1)","0 (0.0)","","",""
"","3","83 (34.2)","78 (33.6)","5 (45.5)","","",""
"","4","8 (3.3)","8 (3.4)","0 (0.0)","","",""
"","5","7 (2.9)","6 (2.6)","1 (9.1)","","",""
"admit_admitroute (%)","1","110 (45.6)","105 (45.7)","5 (45.5)","0.895","","0.8"
"","2","98 (40.7)","94 (40.9)","4 (36.4)","","",""
"","3","33 (13.7)","31 (13.5)","2 (18.2)","","",""
"sex_male (%)","0","98 (40.3)","94 (40.5)","4 (36.4)","1.000","","0.0"
"","1","145 (59.7)","138 (59.5)","7 (63.6)","","",""
"race (%)","1","207 (85.9)","198 (86.1)","9 (81.8)","0.608","","0.8"
"","2","9 (3.7)","9 (3.9)","0 (0.0)","","",""
"","3","4 (1.7)","4 (1.7)","0 (0.0)","","",""
"","4","21 (8.7)","19 (8.3)","2 (18.2)","","",""
"hispanic (%)","0","205 (84.4)","194 (83.6)","11 (100.0)","0.300","","0.0"
"","1","38 (15.6)","38 (16.4)","0 (0.0)","","",""
"insurance_type (%)","1","50 (24.3)","47 (24.1)","3 (27.3)","0.926","","15.2"
"","2","45 (21.8)","43 (22.1)","2 (18.2)","","",""
"","3","99 (48.1)","93 (47.7)","6 (54.5)","","",""
"","4","6 (2.9)","6 (3.1)","0 (0.0)","","",""
"","5","6 (2.9)","6 (3.1)","0 (0.0)","","",""
"cirrhosis_etiology (%)","1","135 (55.6)","129 (55.6)","6 (54.5)","0.709","","0.0"
"","2","44 (18.1)","43 (18.5)","1 (9.1)","","",""
"","3","6 (2.5)","5 (2.2)","1 (9.1)","","",""
"","4","15 (6.2)","14 (6.0)","1 (9.1)","","",""
"","5","15 (6.2)","14 (6.0)","1 (9.1)","","",""
"","6","28 (11.5)","27 (11.6)","1 (9.1)","","",""
"etoh_hepatitis (%)","0","184 (76.0)","176 (76.2)","8 (72.7)","1.000","","0.4"
"","1","58 (24.0)","55 (23.8)","3 (27.3)","","",""
"hegrade_admit (%)","0","141 (58.3)","131 (56.7)","10 (90.9)","0.070","","0.4"
"","1","65 (26.9)","65 (28.1)","0 (0.0)","","",""
"","2","25 (10.3)","25 (10.8)","0 (0.0)","","",""
"","3","6 (2.5)","5 (2.2)","1 (9.1)","","",""
"","4","5 (2.1)","5 (2.2)","0 (0.0)","","",""
"admit_ascites (%)","1","16 (6.6)","16 (6.9)","0 (0.0)","0.628","","0.4"
"","2","154 (63.6)","147 (63.6)","7 (63.6)","","",""
"","3","72 (29.8)","68 (29.4)","4 (36.4)","","",""
"htn_medical_hx (%)","0","134 (55.1)","128 (55.2)","6 (54.5)","1.000","","0.0"
"","1","109 (44.9)","104 (44.8)","5 (45.5)","","",""
"dm_medical_hx (%)","0","171 (70.4)","164 (70.7)","7 (63.6)","0.871","","0.0"
"","1","72 (29.6)","68 (29.3)","4 (36.4)","","",""
"ckd_medical_hx (%)","0","166 (68.3)","158 (68.1)","8 (72.7)","1.000","","0.0"
"","1","77 (31.7)","74 (31.9)","3 (27.3)","","",""
"cad_medical_hx (%)","0","210 (86.4)","201 (86.6)","9 (81.8)","0.996","","0.0"
"","1","33 (13.6)","31 (13.4)","2 (18.2)","","",""
"nsbb_preadmission (%)","0","191 (80.6)","181 (80.1)","10 (90.9)","0.620","","2.5"
"","1","46 (19.4)","45 (19.9)","1 (9.1)","","",""
"nsbb_type_preadmission (%)","1","13 (28.3)","13 (28.9)","0 (0.0)","0.773","","81.1"
"","2","22 (47.8)","21 (46.7)","1 (100.0)","","",""
"","3","5 (10.9)","5 (11.1)","0 (0.0)","","",""
"","4","6 (13.0)","6 (13.3)","0 (0.0)","","",""
"ace_arb_preadmission (%)","0","213 (90.6)","202 (90.2)","11 (100.0)","0.574","","3.3"
"","1","22 (9.4)","22 (9.8)","0 (0.0)","","",""
"nsaid_preadmission (%)","0","213 (91.4)","203 (91.4)","10 (90.9)","1.000","","4.1"
"","1","20 (8.6)","19 (8.6)","1 (9.1)","","",""
"diuretics_preadmission (%)","0","117 (49.6)","109 (48.4)","8 (72.7)","0.206","","2.9"
"","1","119 (50.4)","116 (51.6)","3 (27.3)","","",""
"sbp_ppx_preadmission (%)","0","167 (71.7)","159 (71.6)","8 (72.7)","0.940","","4.1"
"","1","42 (18.0)","40 (18.0)","2 (18.2)","","",""
"","2","7 (3.0)","7 (3.2)","0 (0.0)","","",""
"","3","17 (7.3)","16 (7.2)","1 (9.1)","","",""
"lactulose_preadmission (%)","0","105 (44.5)","101 (44.9)","4 (36.4)","0.807","","2.9"
"","1","131 (55.5)","124 (55.1)","7 (63.6)","","",""
"rifaximin_preadmission (%)","0","153 (65.1)","145 (64.7)","8 (72.7)","0.826","","3.3"
"","1","82 (34.9)","79 (35.3)","3 (27.3)","","",""
"mido_preadmission (%)","0","154 (66.1)","151 (68.0)","3 (27.3)","0.014","","4.1"
"","1","79 (33.9)","71 (32.0)","8 (72.7)","","",""
"ascites_previous_comp (%)","0","32 (13.2)","32 (13.8)","0 (0.0)","0.387","","0.0"
"","1","211 (86.8)","200 (86.2)","11 (100.0)","","",""
"refascites_previous_comp (%)","0","92 (45.1)","90 (46.4)","2 (20.0)","0.190","","16.0"
"","1","112 (54.9)","104 (53.6)","8 (80.0)","","",""
"he_previous_comp (%)","0","98 (40.7)","92 (40.0)","6 (54.5)","0.519","","0.8"
"","1","143 (59.3)","138 (60.0)","5 (45.5)","","",""
"sbp_previous_comp (%)","0","196 (81.3)","190 (82.6)","6 (54.5)","0.053","","0.8"
"","1","45 (18.7)","40 (17.4)","5 (45.5)","","",""
"nonsbp_previous_comp (%)","0","188 (80.0)","180 (80.4)","8 (72.7)","0.817","","3.3"
"","1","47 (20.0)","44 (19.6)","3 (27.3)","","",""
"phtn_bleed_previous_comp (%)","0","184 (76.0)","173 (74.9)","11 (100.0)","0.122","","0.4"
"","1","58 (24.0)","58 (25.1)","0 (0.0)","","",""
"hcc_previous_comp (%)","0","222 (91.7)","214 (92.6)","8 (72.7)","0.075","","0.4"
"","1","20 (8.3)","17 (7.4)","3 (27.3)","","",""
"tips_previous_comp (%)","0","222 (91.4)","213 (91.8)","9 (81.8)","0.546","","0.0"
"","1","21 (8.6)","19 (8.2)","2 (18.2)","","",""
"baseline_scr_outpt (%)","0","141 (58.3)","132 (57.1)","9 (81.8)","0.191","","0.4"
"","1","101 (41.7)","99 (42.9)","2 (18.2)","","",""
"aki_previous_90days (%)","0","143 (59.6)","138 (60.3)","5 (45.5)","0.507","","1.2"
"","1","97 (40.4)","91 (39.7)","6 (54.5)","","",""
"transfer_aki (%)","0","166 (68.6)","159 (68.8)","7 (63.6)","0.976","","0.4"
"","1","76 (31.4)","72 (31.2)","4 (36.4)","","",""
"aki_precipitant_nsbpinf (%)","2","5 (33.3)","5 (33.3)","0 (NaN)","NaN","","93.8"
"","3","5 (33.3)","5 (33.3)","0 (NaN)","","",""
"","4","5 (33.3)","5 (33.3)","0 (NaN)","","",""
"he_aki (%)","0","135 (56.7)","126 (55.5)","9 (81.8)","0.005","","2.1"
"","1","68 (28.6)","68 (30.0)","0 (0.0)","","",""
"","2","24 (10.1)","24 (10.6)","0 (0.0)","","",""
"","3","7 (2.9)","5 (2.2)","2 (18.2)","","",""
"","4","4 (1.7)","4 (1.8)","0 (0.0)","","",""
"rrt_aki (%)","0","238 (99.2)","227 (99.1)","11 (100.0)","1.000","","1.2"
"","1","2 (0.8)","2 (0.9)","0 (0.0)","","",""
"mv_aki (%)","0","234 (97.1)","223 (97.0)","11 (100.0)","1.000","","0.8"
"","1","7 (2.9)","7 (3.0)","0 (0.0)","","",""
"pressors_aki (%)","0","215 (90.0)","204 (89.5)","11 (100.0)","0.535","","1.6"
"","1","24 (10.0)","24 (10.5)","0 (0.0)","","",""
"chest_imaging (%)","0","44 (18.3)","43 (18.8)","1 (9.1)","0.680","","1.2"
"","1","196 (81.7)","186 (81.2)","10 (90.9)","","",""
"chest_imaging_pulmedema (%)","0","144 (73.5)","135 (72.6)","9 (90.0)","0.397","","19.3"
"","1","52 (26.5)","51 (27.4)","1 (10.0)","","",""
"chest_imaging_effusion (%)","0","127 (64.8)","121 (65.1)","6 (60.0)","1.000","","19.3"
"","1","69 (35.2)","65 (34.9)","4 (40.0)","","",""
"ecg (%)","0","32 (13.2)","31 (13.4)","1 (9.1)","1.000","","0.4"
"","1","210 (86.8)","200 (86.6)","10 (90.9)","","",""
"echo (%)","0","64 (26.6)","59 (25.7)","5 (45.5)","0.270","","0.8"
"","1","177 (73.4)","171 (74.3)","6 (54.5)","","",""
"albumin_before_terli (%)","0","24 (9.9)","21 (9.1)","3 (27.3)","0.144","","0.0"
"","1","219 (90.1)","211 (90.9)","8 (72.7)","","",""
"crystalloid_before_terli (%)","0","106 (44.2)","101 (44.1)","5 (45.5)","1.000","","1.2"
"","1","134 (55.8)","128 (55.9)","6 (54.5)","","",""
"nsbb_before_terli (%)","1","36 (15.1)","33 (14.5)","3 (27.3)","0.611","","2.1"
"","2","3 (1.3)","3 (1.3)","0 (0.0)","","",""
"","3","10 (4.2)","10 (4.4)","0 (0.0)","","",""
"","4","189 (79.4)","181 (79.7)","8 (72.7)","","",""
"mido_before_terli (%)","0","68 (28.1)","67 (29.0)","1 (9.1)","0.275","","0.4"
"","1","174 (71.9)","164 (71.0)","10 (90.9)","","",""
"oct_before_terli (%)","0","120 (49.6)","115 (49.8)","5 (45.5)","1.000","","0.4"
"","1","122 (50.4)","116 (50.2)","6 (54.5)","","",""
"ne_before_terli (%)","0","208 (86.0)","198 (85.7)","10 (90.9)","0.968","","0.4"
"","1","34 (14.0)","33 (14.3)","1 (9.1)","","",""
"gihep_consult (%)","0","24 (9.9)","24 (10.4)","0 (0.0)","0.542","","0.4"
"","1","218 (90.1)","207 (89.6)","11 (100.0)","","",""
"neph_consult (%)","0","23 (9.5)","23 (10.0)","0 (0.0)","0.566","","0.4"
"","1","219 (90.5)","208 (90.0)","11 (100.0)","","",""
"pall_consult (%)","0","160 (66.7)","153 (66.8)","7 (63.6)","1.000","","1.2"
"","1","80 (33.3)","76 (33.2)","4 (36.4)","","",""
"code_status (%)","1","53 (69.7)","52 (71.2)","1 (33.3)","0.448","","68.7"
"","2","23 (30.3)","21 (28.8)","2 (66.7)","","",""
"ua_hrs (%)","0","17 (7.0)","16 (6.9)","1 (9.1)","1.000","","0.4"
"","1","225 (93.0)","215 (93.1)","10 (90.9)","","",""
"ua_na_hrs (%)","0","32 (13.3)","29 (12.6)","3 (27.3)","0.344","","0.8"
"","1","209 (86.7)","201 (87.4)","8 (72.7)","","",""
"ua_cr_hrs (%)","0","68 (28.2)","66 (28.7)","2 (18.2)","0.679","","0.8"
"","1","173 (71.8)","164 (71.3)","9 (81.8)","","",""
"ua_urea_hrs (%)","0","150 (63.6)","142 (63.1)","8 (72.7)","0.744","","2.9"
"","1","86 (36.4)","83 (36.9)","3 (27.3)","","",""
"ua_granularcasts_hrs (%)","0","149 (74.1)","141 (73.4)","8 (88.9)","0.519","","17.3"
"","1","52 (25.9)","51 (26.6)","1 (11.1)","","",""
"ua_epi_cells_hrs (%)","0","158 (79.4)","150 (78.9)","8 (88.9)","0.765","","18.1"
"","1","41 (20.6)","40 (21.1)","1 (11.1)","","",""
